Network,time,5-20 mins,20-60 mins,1-6 hrs,6+ hrs
Sovereign Centre - wireless,22 Jun 2017 00:00:00,2.00,7.00,0.00,0.00
Sovereign Centre - wireless,22 Jun 2017 01:00:00,1.00,3.00,0.00,0.00
Sovereign Centre - wireless,22 Jun 2017 02:00:00,4.00,2.00,4.00,20.00
Sovereign Centre - wireless,22 Jun 2017 03:00:00,2.00,3.00,1.00,0.00
Sovereign Centre - wireless,22 Jun 2017 04:00:00,2.00,2.00,2.00,0.00
Sovereign Centre - wireless,22 Jun 2017 05:00:00,3.00,5.00,4.00,1.00
Sovereign Centre - wireless,22 Jun 2017 06:00:00,7.00,3.00,3.00,0.00
Sovereign Centre - wireless,22 Jun 2017 07:00:00,5.00,6.00,1.00,4.00
Sovereign Centre - wireless,22 Jun 2017 08:00:00,9.00,8.00,7.00,0.00
Sovereign Centre - wireless,22 Jun 2017 09:00:00,43.00,47.00,26.00,10.00
Sovereign Centre - wireless,22 Jun 2017 10:00:00,64.00,63.00,19.00,8.00
Sovereign Centre - wireless,22 Jun 2017 11:00:00,95.00,74.00,33.00,3.00
Sovereign Centre - wireless,22 Jun 2017 12:00:00,148.00,110.00,32.00,2.00
Sovereign Centre - wireless,22 Jun 2017 13:00:00,200.00,117.00,31.00,0.00
Sovereign Centre - wireless,22 Jun 2017 14:00:00,165.00,133.00,34.00,1.00
Sovereign Centre - wireless,22 Jun 2017 15:00:00,162.00,95.00,48.00,1.00
Sovereign Centre - wireless,22 Jun 2017 16:00:00,109.00,86.00,33.00,4.00
Sovereign Centre - wireless,22 Jun 2017 17:00:00,179.00,96.00,35.00,1.00
Sovereign Centre - wireless,22 Jun 2017 18:00:00,167.00,89.00,46.00,1.00
Sovereign Centre - wireless,22 Jun 2017 19:00:00,133.00,89.00,27.00,0.00
Sovereign Centre - wireless,22 Jun 2017 20:00:00,144.00,60.00,24.00,0.00
Sovereign Centre - wireless,22 Jun 2017 21:00:00,86.00,45.00,8.00,1.00
Sovereign Centre - wireless,22 Jun 2017 22:00:00,18.00,15.00,5.00,0.00
Sovereign Centre - wireless,22 Jun 2017 23:00:00,9.00,7.00,0.00,0.00
