Network,time,Capture rate
Sovereign Centre - wireless,24 May 2017 00:00:00,45.00
Sovereign Centre - wireless,25 May 2017 00:00:00,46.00
Sovereign Centre - wireless,26 May 2017 00:00:00,45.00
Sovereign Centre - wireless,27 May 2017 00:00:00,46.00
Sovereign Centre - wireless,28 May 2017 00:00:00,54.00
Sovereign Centre - wireless,29 May 2017 00:00:00,53.00
Sovereign Centre - wireless,30 May 2017 00:00:00,41.00
Sovereign Centre - wireless,31 May 2017 00:00:00,55.00
Sovereign Centre - wireless,01 Jun 2017 00:00:00,44.00
Sovereign Centre - wireless,02 Jun 2017 00:00:00,46.00
Sovereign Centre - wireless,03 Jun 2017 00:00:00,46.00
Sovereign Centre - wireless,04 Jun 2017 00:00:00,47.00
Sovereign Centre - wireless,05 Jun 2017 00:00:00,41.00
Sovereign Centre - wireless,06 Jun 2017 00:00:00,39.00
Sovereign Centre - wireless,07 Jun 2017 00:00:00,53.00
Sovereign Centre - wireless,08 Jun 2017 00:00:00,46.00
Sovereign Centre - wireless,09 Jun 2017 00:00:00,43.00
Sovereign Centre - wireless,10 Jun 2017 00:00:00,47.00
Sovereign Centre - wireless,11 Jun 2017 00:00:00,49.00
Sovereign Centre - wireless,12 Jun 2017 00:00:00,47.00
Sovereign Centre - wireless,13 Jun 2017 00:00:00,32.00
Sovereign Centre - wireless,14 Jun 2017 00:00:00,42.00
Sovereign Centre - wireless,15 Jun 2017 00:00:00,42.00
Sovereign Centre - wireless,16 Jun 2017 00:00:00,41.00
Sovereign Centre - wireless,17 Jun 2017 00:00:00,50.00
Sovereign Centre - wireless,18 Jun 2017 00:00:00,38.00
Sovereign Centre - wireless,19 Jun 2017 00:00:00,45.00
Sovereign Centre - wireless,20 Jun 2017 00:00:00,40.00
Sovereign Centre - wireless,21 Jun 2017 00:00:00,40.00
Sovereign Centre - wireless,22 Jun 2017 00:00:00,33.00
