Network,time,First time,Daily,Weekly,Occasional
Sovereign Centre - wireless,24 May 2017 00:00:00,1772.00,87.00,0.00,628.00
Sovereign Centre - wireless,25 May 2017 00:00:00,1958.00,133.00,728.00,8.00
Sovereign Centre - wireless,26 May 2017 00:00:00,2542.00,201.00,772.00,130.00
Sovereign Centre - wireless,27 May 2017 00:00:00,2508.00,214.00,699.00,167.00
Sovereign Centre - wireless,28 May 2017 00:00:00,1371.00,116.00,431.00,152.00
Sovereign Centre - wireless,29 May 2017 00:00:00,1460.00,245.00,507.00,235.00
Sovereign Centre - wireless,30 May 2017 00:00:00,1548.00,235.00,551.00,311.00
Sovereign Centre - wireless,31 May 2017 00:00:00,1447.00,257.00,477.00,281.00
Sovereign Centre - wireless,01 Jun 2017 00:00:00,1400.00,236.00,895.00,0.00
Sovereign Centre - wireless,02 Jun 2017 00:00:00,1872.00,236.00,1234.00,52.00
Sovereign Centre - wireless,03 Jun 2017 00:00:00,2016.00,253.00,1068.00,99.00
Sovereign Centre - wireless,04 Jun 2017 00:00:00,1109.00,140.00,642.00,83.00
Sovereign Centre - wireless,05 Jun 2017 00:00:00,1205.00,253.00,764.00,136.00
Sovereign Centre - wireless,06 Jun 2017 00:00:00,1373.00,270.00,874.00,164.00
Sovereign Centre - wireless,07 Jun 2017 00:00:00,1072.00,293.00,742.00,209.00
Sovereign Centre - wireless,08 Jun 2017 00:00:00,1277.00,252.00,985.00,0.00
Sovereign Centre - wireless,09 Jun 2017 00:00:00,1750.00,259.00,1435.00,37.00
Sovereign Centre - wireless,10 Jun 2017 00:00:00,1648.00,252.00,1184.00,97.00
Sovereign Centre - wireless,11 Jun 2017 00:00:00,871.00,141.00,712.00,81.00
Sovereign Centre - wireless,12 Jun 2017 00:00:00,1021.00,282.00,934.00,123.00
Sovereign Centre - wireless,13 Jun 2017 00:00:00,1225.00,281.00,944.00,172.00
Sovereign Centre - wireless,14 Jun 2017 00:00:00,992.00,287.00,860.00,145.00
Sovereign Centre - wireless,15 Jun 2017 00:00:00,991.00,313.00,999.00,119.00
Sovereign Centre - wireless,16 Jun 2017 00:00:00,1495.00,301.00,1348.00,162.00
Sovereign Centre - wireless,17 Jun 2017 00:00:00,1063.00,318.00,1235.00,154.00
Sovereign Centre - wireless,18 Jun 2017 00:00:00,1167.00,181.00,686.00,144.00
Sovereign Centre - wireless,19 Jun 2017 00:00:00,870.00,304.00,905.00,113.00
Sovereign Centre - wireless,20 Jun 2017 00:00:00,963.00,330.00,1049.00,164.00
Sovereign Centre - wireless,21 Jun 2017 00:00:00,846.00,353.00,1031.00,279.00
Sovereign Centre - wireless,22 Jun 2017 00:00:00,1133.00,314.00,1133.00,148.00
