Network,time,Median visit length
Sovereign Centre - wireless,24 May 2017 00:00:00,27.49
Sovereign Centre - wireless,25 May 2017 00:00:00,27.52
Sovereign Centre - wireless,26 May 2017 00:00:00,27.21
Sovereign Centre - wireless,27 May 2017 00:00:00,27.33
Sovereign Centre - wireless,28 May 2017 00:00:00,22.47
Sovereign Centre - wireless,29 May 2017 00:00:00,27.64
Sovereign Centre - wireless,30 May 2017 00:00:00,27.31
Sovereign Centre - wireless,31 May 2017 00:00:00,26.82
Sovereign Centre - wireless,01 Jun 2017 00:00:00,27.76
Sovereign Centre - wireless,02 Jun 2017 00:00:00,27.27
Sovereign Centre - wireless,03 Jun 2017 00:00:00,27.36
Sovereign Centre - wireless,04 Jun 2017 00:00:00,26.97
Sovereign Centre - wireless,05 Jun 2017 00:00:00,27.19
Sovereign Centre - wireless,06 Jun 2017 00:00:00,27.88
Sovereign Centre - wireless,07 Jun 2017 00:00:00,27.26
Sovereign Centre - wireless,08 Jun 2017 00:00:00,27.33
Sovereign Centre - wireless,09 Jun 2017 00:00:00,27.58
Sovereign Centre - wireless,10 Jun 2017 00:00:00,27.74
Sovereign Centre - wireless,11 Jun 2017 00:00:00,27.17
Sovereign Centre - wireless,12 Jun 2017 00:00:00,26.56
Sovereign Centre - wireless,13 Jun 2017 00:00:00,27.62
Sovereign Centre - wireless,14 Jun 2017 00:00:00,26.95
Sovereign Centre - wireless,15 Jun 2017 00:00:00,22.76
Sovereign Centre - wireless,16 Jun 2017 00:00:00,22.81
Sovereign Centre - wireless,17 Jun 2017 00:00:00,22.42
Sovereign Centre - wireless,18 Jun 2017 00:00:00,26.96
Sovereign Centre - wireless,19 Jun 2017 00:00:00,27.11
Sovereign Centre - wireless,20 Jun 2017 00:00:00,27.43
Sovereign Centre - wireless,21 Jun 2017 00:00:00,27.56
Sovereign Centre - wireless,22 Jun 2017 00:00:00,22.36
