Network,time,Connected,Visitors,Passersby
Sovereign Centre - wireless,24 May 2017 00:00:00,330.00,2487.00,3051.00
Sovereign Centre - wireless,25 May 2017 00:00:00,402.00,2827.00,3297.00
Sovereign Centre - wireless,26 May 2017 00:00:00,550.00,3645.00,4510.00
Sovereign Centre - wireless,27 May 2017 00:00:00,576.00,3588.00,4204.00
Sovereign Centre - wireless,28 May 2017 00:00:00,64.00,2070.00,1770.00
Sovereign Centre - wireless,29 May 2017 00:00:00,98.00,2447.00,2179.00
Sovereign Centre - wireless,30 May 2017 00:00:00,85.00,2645.00,3768.00
Sovereign Centre - wireless,31 May 2017 00:00:00,62.00,2462.00,2052.00
Sovereign Centre - wireless,01 Jun 2017 00:00:00,68.00,2531.00,3180.00
Sovereign Centre - wireless,02 Jun 2017 00:00:00,90.00,3394.00,3929.00
Sovereign Centre - wireless,03 Jun 2017 00:00:00,87.00,3436.00,3986.00
Sovereign Centre - wireless,04 Jun 2017 00:00:00,47.00,1974.00,2191.00
Sovereign Centre - wireless,05 Jun 2017 00:00:00,65.00,2358.00,3434.00
Sovereign Centre - wireless,06 Jun 2017 00:00:00,80.00,2681.00,4205.00
Sovereign Centre - wireless,07 Jun 2017 00:00:00,49.00,2316.00,2033.00
Sovereign Centre - wireless,08 Jun 2017 00:00:00,55.00,2514.00,2933.00
Sovereign Centre - wireless,09 Jun 2017 00:00:00,80.00,3481.00,4676.00
Sovereign Centre - wireless,10 Jun 2017 00:00:00,106.00,3181.00,3615.00
Sovereign Centre - wireless,11 Jun 2017 00:00:00,53.00,1805.00,1885.00
Sovereign Centre - wireless,12 Jun 2017 00:00:00,88.00,2360.00,2666.00
Sovereign Centre - wireless,13 Jun 2017 00:00:00,83.00,2622.00,5526.00
Sovereign Centre - wireless,14 Jun 2017 00:00:00,56.00,2284.00,3211.00
Sovereign Centre - wireless,15 Jun 2017 00:00:00,53.00,2422.00,3301.00
Sovereign Centre - wireless,16 Jun 2017 00:00:00,90.00,3306.00,4699.00
Sovereign Centre - wireless,17 Jun 2017 00:00:00,74.00,2770.00,2720.00
Sovereign Centre - wireless,18 Jun 2017 00:00:00,58.00,2178.00,3571.00
Sovereign Centre - wireless,19 Jun 2017 00:00:00,75.00,2192.00,2677.00
Sovereign Centre - wireless,20 Jun 2017 00:00:00,75.00,2506.00,3817.00
Sovereign Centre - wireless,21 Jun 2017 00:00:00,60.00,2509.00,3836.00
Sovereign Centre - wireless,22 Jun 2017 00:00:00,63.00,2728.00,5513.00
