Network,time,Repeat visitor rate
Sovereign Centre - wireless,24 May 2017 00:00:00,29.00
Sovereign Centre - wireless,25 May 2017 00:00:00,31.00
Sovereign Centre - wireless,26 May 2017 00:00:00,30.00
Sovereign Centre - wireless,27 May 2017 00:00:00,30.00
Sovereign Centre - wireless,28 May 2017 00:00:00,34.00
Sovereign Centre - wireless,29 May 2017 00:00:00,40.00
Sovereign Centre - wireless,30 May 2017 00:00:00,41.00
Sovereign Centre - wireless,31 May 2017 00:00:00,41.00
Sovereign Centre - wireless,01 Jun 2017 00:00:00,45.00
Sovereign Centre - wireless,02 Jun 2017 00:00:00,45.00
Sovereign Centre - wireless,03 Jun 2017 00:00:00,41.00
Sovereign Centre - wireless,04 Jun 2017 00:00:00,44.00
Sovereign Centre - wireless,05 Jun 2017 00:00:00,49.00
Sovereign Centre - wireless,06 Jun 2017 00:00:00,49.00
Sovereign Centre - wireless,07 Jun 2017 00:00:00,54.00
Sovereign Centre - wireless,08 Jun 2017 00:00:00,49.00
Sovereign Centre - wireless,09 Jun 2017 00:00:00,50.00
Sovereign Centre - wireless,10 Jun 2017 00:00:00,48.00
Sovereign Centre - wireless,11 Jun 2017 00:00:00,52.00
Sovereign Centre - wireless,12 Jun 2017 00:00:00,57.00
Sovereign Centre - wireless,13 Jun 2017 00:00:00,53.00
Sovereign Centre - wireless,14 Jun 2017 00:00:00,57.00
Sovereign Centre - wireless,15 Jun 2017 00:00:00,59.00
Sovereign Centre - wireless,16 Jun 2017 00:00:00,55.00
Sovereign Centre - wireless,17 Jun 2017 00:00:00,62.00
Sovereign Centre - wireless,18 Jun 2017 00:00:00,46.00
Sovereign Centre - wireless,19 Jun 2017 00:00:00,60.00
Sovereign Centre - wireless,20 Jun 2017 00:00:00,62.00
Sovereign Centre - wireless,21 Jun 2017 00:00:00,66.00
Sovereign Centre - wireless,22 Jun 2017 00:00:00,58.00
